iter	Passed	Remaining
0	1	170
1	3	177
2	5	188
3	7	169
4	8	159
5	10	161
6	11	157
7	14	165
8	17	174
9	23	212
10	26	214
11	27	204
12	31	210
13	33	205
14	35	201
15	37	198
16	42	208
17	45	207
18	46	200
19	50	200
20	52	195
21	53	188
22	53	180
23	54	173
24	55	167
25	56	161
26	57	156
27	59	151
28	60	147
29	61	144
30	63	141
31	65	139
32	66	135
33	67	131
34	69	128
35	70	124
36	71	121
37	72	117
38	73	114
39	74	111
40	75	108
41	77	107
42	80	106
43	81	103
44	82	100
45	83	97
46	84	95
47	85	92
48	86	89
49	87	87
50	88	84
51	89	82
52	90	80
53	92	78
54	92	76
55	93	73
56	94	71
57	95	69
58	96	67
59	97	64
60	98	62
61	98	60
62	99	58
63	100	56
64	100	54
65	101	52
66	102	50
67	105	49
68	108	48
69	109	46
70	110	45
71	111	43
72	112	41
73	113	39
74	114	38
75	115	36
76	117	34
77	121	34
78	122	32
79	123	30
80	124	29
81	127	28
82	129	26
83	130	24
84	131	23
85	132	21
86	133	19
87	134	18
88	135	16
89	136	15
90	136	13
91	137	11
92	138	10
93	139	8
94	140	7
95	141	5
96	141	4
97	142	2
98	143	1
99	144	0
