iter	Passed	Remaining
0	209	209301
1	212	106246
2	214	71144
3	215	53559
4	216	43018
5	217	35994
6	218	30962
7	219	27181
8	220	24237
9	221	21887
10	222	19969
11	224	18481
12	226	17210
13	227	16042
14	228	15029
15	229	14135
16	230	13355
17	231	12656
18	232	12028
19	233	11462
20	234	10949
21	235	10486
22	236	10065
23	239	9728
24	241	9413
25	242	9081
26	243	8778
27	244	8493
28	245	8224
29	246	7973
30	247	7738
31	248	7517
32	249	7309
33	250	7114
34	251	6929
35	253	6795
36	256	6666
37	257	6513
38	258	6366
39	259	6225
40	260	6089
41	261	5959
42	262	5836
43	263	5716
44	263	5602
45	264	5494
46	265	5391
47	266	5293
48	269	5221
49	271	5160
50	272	5075
51	273	4990
52	275	4915
53	276	4837
54	277	4761
55	278	4690
56	279	4619
57	280	4552
58	281	4486
59	283	4444
60	286	4402
61	286	4341
62	287	4282
63	288	4224
64	289	4169
65	290	4115
66	291	4062
67	293	4016
68	293	3966
69	294	3918
70	295	3872
71	298	3841
72	300	3812
73	301	3771
74	302	3729
75	303	3687
76	304	3646
77	305	3605
78	305	3566
79	307	3531
80	308	3494
81	308	3458
82	309	3417
83	310	3381
84	310	3346
85	313	3328
86	314	3304
87	315	3272
88	316	3240
89	317	3208
90	318	3177
91	318	3148
92	319	3119
93	320	3090
94	321	3061
95	322	3033
96	322	3005
97	323	2978
98	324	2951
99	325	2926
100	327	2912
101	329	2899
102	330	2876
103	331	2852
104	331	2828
105	332	2805
106	333	2782
107	334	2760
108	335	2739
109	336	2719
110	337	2699
111	337	2678
112	338	2657
113	339	2638
114	340	2618
115	343	2615
116	344	2601
117	345	2583
118	346	2563
119	346	2544
120	347	2526
121	348	2507
122	349	2491
123	350	2474
124	351	2457
125	351	2441
126	352	2423
127	353	2407
128	354	2391
129	354	2375
130	357	2372
131	360	2368
132	361	2355
133	362	2345
134	364	2332
135	365	2319
136	366	2310
137	368	2300
138	369	2288
139	374	2302
140	377	2299
141	378	2285
142	379	2273
143	380	2261
144	381	2247
145	381	2234
146	382	2220
147	383	2207
148	384	2194
149	384	2181
150	388	2182
151	389	2175
152	390	2163
153	391	2151
154	392	2140
155	393	2128
156	394	2116
157	394	2104
158	395	2092
159	396	2081
160	396	2068
161	397	2057
162	398	2045
163	399	2034
164	399	2023
165	401	2018
166	404	2015
167	404	2005
168	405	1995
169	406	1987
170	407	1977
171	408	1966
172	409	1956
173	410	1946
174	410	1936
175	411	1927
176	412	1917
177	413	1908
178	413	1898
179	414	1889
180	417	1888
181	418	1882
182	419	1874
183	421	1867
184	422	1860
185	423	1852
186	424	1845
187	425	1837
188	428	1837
189	433	1847
190	435	1842
191	436	1836
192	437	1829
193	438	1821
194	439	1812
195	439	1804
196	440	1795
197	441	1787
198	442	1779
199	442	1771
200	443	1764
201	446	1762
202	448	1759
203	449	1752
204	450	1746
205	451	1739
206	452	1732
207	453	1725
208	453	1717
209	454	1710
210	455	1703
211	456	1696
212	457	1688
213	459	1687
214	462	1690
215	464	1684
216	465	1678
217	466	1672
218	467	1666
219	468	1660
220	469	1654
221	470	1649
222	471	1643
223	473	1640
224	477	1644
225	478	1638
226	479	1633
227	480	1626
228	481	1620
229	482	1614
230	483	1609
231	484	1604
232	485	1599
233	486	1593
234	492	1603
235	495	1602
236	497	1600
237	499	1597
238	500	1592
239	501	1587
240	509	1604
241	510	1599
242	511	1594
243	514	1592
244	515	1588
245	516	1582
246	517	1577
247	521	1580
248	524	1580
249	525	1575
250	526	1570
251	526	1564
252	527	1558
253	528	1552
254	529	1546
255	530	1540
256	531	1535
257	532	1530
258	532	1524
259	535	1522
260	538	1523
261	539	1519
262	540	1514
263	542	1511
264	543	1507
265	544	1503
266	546	1499
267	547	1495
268	552	1502
269	554	1500
270	556	1496
271	557	1491
272	558	1485
273	559	1481
274	560	1476
275	561	1472
276	562	1467
277	564	1467
278	567	1466
279	568	1462
280	569	1457
281	570	1452
282	571	1447
283	572	1442
284	573	1437
285	573	1432
286	574	1427
287	575	1422
288	576	1417
289	577	1412
290	578	1409
291	581	1409
292	583	1407
293	584	1403
294	585	1398
295	586	1394
296	587	1389
297	587	1385
298	588	1380
299	589	1375
300	590	1370
301	590	1365
302	591	1361
303	592	1356
304	595	1357
305	598	1356
306	599	1352
307	600	1350
308	602	1347
309	603	1344
310	604	1340
311	605	1335
312	606	1331
313	609	1331
314	612	1332
315	613	1328
316	614	1324
317	616	1321
318	616	1316
319	617	1312
320	618	1308
321	619	1303
322	619	1299
323	620	1294
324	621	1290
325	623	1289
326	627	1292
327	629	1288
328	630	1285
329	631	1281
330	631	1276
331	632	1272
332	633	1268
333	634	1264
334	634	1260
335	635	1256
336	636	1251
337	637	1248
338	639	1246
339	640	1243
340	641	1239
341	642	1235
342	642	1231
343	643	1226
344	644	1222
345	644	1218
346	645	1214
347	645	1210
348	646	1206
349	647	1201
350	647	1197
351	648	1193
352	649	1189
353	649	1185
354	650	1181
355	650	1177
356	652	1174
357	653	1172
358	655	1170
359	656	1166
360	657	1163
361	658	1160
362	659	1156
363	659	1152
364	660	1148
365	661	1145
366	661	1141
367	662	1137
368	663	1133
369	663	1130
370	664	1126
371	665	1123
372	666	1121
373	668	1118
374	669	1116
375	670	1113
376	671	1109
377	672	1106
378	673	1102
379	673	1099
380	674	1095
381	675	1092
382	675	1088
383	676	1085
384	677	1082
385	678	1078
386	678	1075
387	679	1071
388	682	1071
389	684	1069
390	684	1066
391	685	1063
392	686	1060
393	687	1057
394	688	1053
395	688	1050
396	689	1047
397	690	1044
398	691	1041
399	692	1038
400	692	1034
401	693	1031
402	694	1028
403	696	1028
404	698	1026
405	699	1023
406	700	1020
407	700	1017
408	701	1013
409	702	1010
410	703	1007
411	703	1004
412	704	1001
413	705	998
414	706	995
415	707	992
416	707	989
417	708	986
418	710	985
419	712	984
420	713	981
421	714	979
422	715	976
423	716	973
424	717	970
425	717	967
426	718	964
427	719	961
428	720	958
429	720	955
430	721	952
431	722	949
432	723	947
433	727	948
434	728	946
435	729	944
436	730	941
437	731	938
438	732	936
439	733	933
440	734	930
441	735	927
442	735	925
443	736	922
444	740	923
445	743	924
446	745	922
447	746	919
448	747	917
449	748	914
450	749	911
451	749	909
452	750	906
453	751	903
454	754	903
455	756	902
456	757	899
457	758	897
458	759	894
459	759	891
460	760	889
461	761	886
462	762	883
463	762	881
464	763	878
465	764	876
466	765	873
467	766	871
468	767	868
469	769	867
470	771	866
471	772	863
472	772	861
473	773	858
474	774	855
475	775	853
476	776	850
477	776	848
478	777	845
479	778	843
480	779	841
481	780	839
482	782	837
483	783	835
484	785	834
485	786	831
486	787	829
487	787	826
488	788	824
489	789	821
490	790	819
491	791	816
492	791	814
493	793	812
494	794	810
495	795	808
496	796	805
497	797	804
498	799	802
499	800	800
500	800	797
501	801	795
502	802	792
503	802	789
504	803	787
505	804	784
506	804	782
507	805	779
508	806	777
509	806	775
510	807	773
511	808	770
512	809	768
513	810	766
514	812	764
515	814	764
516	815	762
517	816	759
518	817	757
519	818	755
520	819	753
521	820	751
522	821	749
523	822	747
524	823	745
525	824	742
526	825	740
527	827	739
528	829	738
529	830	736
530	830	733
531	831	731
532	832	729
533	833	727
534	834	725
535	834	722
536	835	720
537	836	718
538	836	715
539	837	713
540	838	710
541	838	708
542	839	706
543	840	704
544	841	702
545	843	701
546	843	698
547	844	696
548	845	694
549	845	692
550	846	689
551	847	687
552	848	685
553	849	683
554	849	681
555	850	679
556	850	676
557	851	674
558	852	672
559	852	670
560	853	667
561	854	665
562	855	663
563	856	662
564	858	660
565	859	658
566	859	656
567	860	654
568	861	652
569	862	650
570	863	648
571	864	646
572	864	644
573	865	642
574	866	640
575	866	638
576	867	635
577	868	633
578	868	631
579	870	630
580	871	628
581	872	626
582	873	624
583	873	622
584	874	620
585	875	618
586	876	616
587	876	614
588	877	612
589	878	610
590	878	608
591	879	606
592	879	603
593	880	601
594	881	599
595	881	597
596	882	595
597	883	593
598	885	593
599	887	591
600	888	589
601	889	587
602	889	585
603	890	584
604	891	582
605	892	580
606	893	578
607	893	576
608	894	574
609	895	572
610	895	570
611	896	568
612	897	566
613	898	564
614	900	563
615	903	563
616	905	562
617	906	560
618	907	558
619	908	556
620	908	554
621	909	552
622	910	550
623	911	548
624	911	547
625	912	545
626	913	543
627	915	542
628	918	541
629	918	539
630	919	537
631	920	535
632	921	534
633	921	532
634	922	530
635	923	528
636	923	526
637	924	524
638	925	522
639	926	520
640	926	519
641	927	517
642	928	515
643	930	514
644	932	513
645	933	511
646	934	509
647	935	507
648	935	506
649	936	504
650	937	502
651	937	500
652	938	498
653	939	496
654	940	495
655	940	493
656	941	491
657	942	489
658	942	487
659	945	486
660	947	486
661	948	484
662	949	482
663	950	481
664	951	479
665	953	477
666	953	476
667	954	474
668	955	472
669	956	471
670	957	469
671	961	469
672	963	467
673	963	466
674	964	464
675	965	462
676	966	461
677	967	459
678	967	457
679	968	455
680	969	454
681	970	452
682	971	450
683	971	449
684	974	448
685	976	446
686	977	445
687	978	443
688	980	442
689	981	440
690	982	439
691	983	437
692	984	436
693	985	434
694	988	433
695	991	432
696	993	431
697	994	430
698	995	428
699	996	426
700	997	425
701	998	423
702	1000	422
703	1003	422
704	1004	420
705	1005	418
706	1006	417
707	1007	415
708	1008	414
709	1009	412
710	1010	410
711	1011	409
712	1012	407
713	1013	406
714	1016	405
715	1018	403
716	1019	402
717	1019	400
718	1020	398
719	1021	397
720	1021	395
721	1022	393
722	1023	391
723	1023	390
724	1024	388
725	1024	386
726	1025	385
727	1026	383
728	1027	381
729	1028	380
730	1030	379
731	1032	377
732	1032	376
733	1033	374
734	1034	373
735	1035	371
736	1036	369
737	1036	368
738	1037	366
739	1037	364
740	1038	363
741	1039	361
742	1040	359
743	1041	358
744	1042	356
745	1042	355
746	1043	353
747	1045	352
748	1047	351
749	1048	349
750	1049	348
751	1050	346
752	1054	345
753	1057	345
754	1060	344
755	1062	342
756	1063	341
757	1064	339
758	1065	338
759	1066	336
760	1067	335
761	1068	333
762	1069	332
763	1070	330
764	1073	329
765	1075	328
766	1083	329
767	1088	328
768	1091	327
769	1092	326
770	1093	324
771	1094	323
772	1095	321
773	1096	320
774	1097	318
775	1098	317
776	1099	315
777	1099	313
778	1100	312
779	1102	310
780	1104	309
781	1105	308
782	1106	306
783	1107	305
784	1107	303
785	1108	301
786	1109	300
787	1110	298
788	1111	297
789	1111	295
790	1112	294
791	1113	292
792	1114	290
793	1115	289
794	1116	287
795	1118	286
796	1120	285
797	1121	283
798	1122	282
799	1123	280
800	1123	279
801	1124	277
802	1125	276
803	1126	274
804	1126	272
805	1127	271
806	1128	269
807	1129	268
808	1130	266
809	1132	265
810	1134	264
811	1135	262
812	1137	261
813	1138	260
814	1139	258
815	1140	257
816	1141	255
817	1142	254
818	1142	252
819	1143	251
820	1144	249
821	1145	248
822	1147	246
823	1150	245
824	1151	244
825	1152	242
826	1153	241
827	1154	239
828	1155	238
829	1156	236
830	1157	235
831	1158	233
832	1159	232
833	1162	231
834	1164	230
835	1165	228
836	1166	227
837	1166	225
838	1167	224
839	1168	222
840	1169	221
841	1170	219
842	1170	218
843	1171	216
844	1172	215
845	1173	213
846	1173	212
847	1175	210
848	1178	209
849	1179	208
850	1180	206
851	1181	205
852	1182	203
853	1183	202
854	1183	200
855	1184	199
856	1184	197
857	1185	196
858	1186	194
859	1186	193
860	1187	191
861	1188	190
862	1188	188
863	1191	187
864	1193	186
865	1193	184
866	1194	183
867	1195	181
868	1196	180
869	1197	178
870	1198	177
871	1199	176
872	1199	174
873	1200	173
874	1201	171
875	1202	170
876	1203	168
877	1203	167
878	1206	166
879	1207	164
880	1208	163
881	1209	161
882	1210	160
883	1210	158
884	1211	157
885	1212	155
886	1213	154
887	1213	153
888	1214	151
889	1214	150
890	1215	148
891	1216	147
892	1217	145
893	1219	144
894	1221	143
895	1222	141
896	1223	140
897	1223	138
898	1224	137
899	1224	136
900	1225	134
901	1226	133
902	1226	131
903	1227	130
904	1228	128
905	1228	127
906	1229	126
907	1230	124
908	1231	123
909	1231	121
910	1232	120
911	1234	119
912	1236	117
913	1237	116
914	1238	115
915	1239	113
916	1239	112
917	1240	110
918	1241	109
919	1242	108
920	1243	106
921	1244	105
922	1245	103
923	1246	102
924	1247	101
925	1249	99
926	1251	98
927	1251	97
928	1252	95
929	1253	94
930	1254	92
931	1254	91
932	1255	90
933	1256	88
934	1256	87
935	1257	85
936	1258	84
937	1259	83
938	1260	81
939	1260	80
940	1262	79
941	1266	77
942	1267	76
943	1268	75
944	1269	73
945	1270	72
946	1271	71
947	1272	69
948	1273	68
949	1273	67
950	1274	65
951	1275	64
952	1276	62
